"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance","Referenced in"
"745.5924","008053896","Monograph","Language material ; Text","Volume","GB8008875","","9780263064001 ; 9780263064100","Hutchings, Margaret","","person","","Cook, Doris [person] ; Hutchings, Margaret [person]","Toys from 'Alice in Wonderland'","","","","England","London","Mills & Boon","1979","","127 pages, 8 pages of plates, illustrations (some colour), 26 cm","X.620/19208 ; X.622/9401","Soft toys based on characters from Carroll, Lewis--1832-1898--Making ; Soft toy making ; Carroll, Lewis, 1832-1898--Miscellanea","","English","","",""
"745.61","017573675","Monograph","Language material ; Text","Volume","","","9781503319943","Wolkowski, Z. W. (Zbigniew William)","","person","author","Wolkowski, Z. W. (Zbigniew William), author [person]","Alice in many tongues : selection from a chirographic opus in sixty languages","","","","France","Paris","Z.W. Wolkowski","2014","","1 volume (unpaged), 22 cm","YD.2016.a.1545","Carroll, Lewis, 1832-1898 ; Calligraphy ; Carroll, Lewis, 1832-1898--Quotations","Quotation or maxim","English","","",""
"745.7","017581361","Monograph","Language material ; Still image ; Text","Volume","GBB736265","","9780141366159","Good Wives and Warriors (Partnership)","","organisation","artist","Good Wives and Warriors (Partnership), artist [organisation] ; Carroll, Lewis, 1832-1898 [person]","Escape to Wonderland : a colouring-book adventure","Alice's adventures in Wonderland","","","United Kingdom","","Puffin","2015","","1 volume (unpaged), chiefly black and white illustrations, 19 cm","YKL.2017.a.4687","Carroll, Lewis, 1832-1898--Pictorial works ; Coloring books--Juvenile literature","Children's literature ; Pictorial work","English","'Text from Alice's Adventures in Wonderland by Lewis Carroll, first published 1865.'--Title page verso","",""
"745.7","017993285","Monograph","Language material ; Still image ; Text","Volume","GBB7J4946","","9781942275350","Campbell, J. Scott","","person","artist","Campbell, J. Scott, artist [person]","Alice in wonderland : adult colouring book","","","","United States of America","Horsham, Pennsylvania","Zenescope","2016","","1 volume (unpaged), chiefly black and white illustrations, 28 cm","YKL.2017.b.5314","Alice, (Fictitious character from Carroll)--Pictorial works ; Coloring books","Pictorial work","English","","",""
"746.434043","018022620","Monograph","Language material ; Still image ; Text","Volume","GBB6D2601","","9780486807348","Olski, Pat","","person","author","Olski, Pat, author [person]","Lewis Carroll's Alice in wonderland","Alice in wonderland","Crochet stories","","United States of America","Mineola, New York","Dover","2016","","1 volume, illustrations, 28 cm","","Crocheting--Patterns ; Carroll, Lewis, 1832-1898","","English","","",""
"746.92","010062441","Monograph","Language material ; Text","Volume","GB9032738","","9780563214410 ; 9780563214434","Wilson, Elizabeth","1936-","person","","Wilson, Elizabeth, 1936- [person] ; Taylor, Lou [person]","Through the looking glass : a history of dress from 1860 to the present day","","","","England","London","","1989","","240 pages, illustrations (some colour), portraits (some colour), 27 cm","YC.1990.b.5645 ; YK.1990.b.4361","Fashion--history ; Fashion--History","","English","bibliography: p234. - Includes index","",""
"746.92","017093998","Monograph","Language material ; Still image ; Text","Volume","GBB528441","","9780300211122 ; 9781588395634 ; 9781588395771","","","","","Metropolitan Museum of Art (New York, N.Y.) [organisation] ; Bolton, Andrew, 1966-, author [person] ; Galliano, John, author [person]","China through the looking glass","","","","United States of America","New Haven","Yale University Press","2015","","255 pages, colour illustrations, 28 cm","LC.31.a.16180","Fashion design--Europe--Chinese influences--Exhibitions ; Fashion designers--Europe--Exhibitions ; Metropolitan Museum of Art (New York, N.Y.)--Exhibitions ; Art--New York (State)--Exhibitions ; Art, Chinese--Influence--Exhibitions ; Fashion design--Europe--History--20th century--Exhibitions","Exhibition","English","","",""
"746.9209598","019494913","Monograph","Language material ; Still image ; Text","Volume","GBB9D4102","","9781350061309","Lopez y Royo, Alessandra","","person","author","Lopez y Royo, Alessandra, author [person]","Contemporary Indonesian fashion : through the looking glass","","Dress and fashion research","","England","London","Bloomsbury","2020","","xxxiii, 216 pages, black and white illustrations, 24 cm","","Fashion design--Indonesia","","English","Additional physical form: ebook version. 9781350061316","",""
"746.9209598","019597497","Monograph","Language material ; Text","Online resource","GBB9I7085","","9781350061316 ; 9781350061323 ; 9781350061330","Lopez y Royo, Alessandra","","person","author","Lopez y Royo, Alessandra, author [person]","Contemporary Indonesian Fashion : Through the Looking Glass","","Dress and fashion research","","England ; United States of America","London ; New York","Bloomsbury","2020","","1 online resource","ELD.DS.467473","Fashion design--Indonesia","","English","","",""
"759.9595","017742219","Monograph","Language material ; Still image ; Text","Volume","","","","Kamal Mustafa","1952-","person","artist","Kamal Mustafa, 1952-, artist [person]","Hulutopia : through the looking glass into promised lands, 16 May - 21 June 2015","Through the looking glass into promised lands","","","Malaysia","Kuala Lumpur","Fergana Art","2015","","37 pages, illustrations (chiefly colour), 27 cm","YP.2016.b.432","Mixed media painting ; Art, Malaysian--Exhibitions ; Mixed media painting--Malaysia--Exhibitions ; Kamal Mustafa, 1952---Exhibitions","Catalogue ; Exhibition","English","'This catalogue is published on the ocassion of the exhibition Hulutopia: through the looking glass into the promised lands; on view at WhiteBox @Map Publika, Kuala Lumpur May 9-10, 2015 and the Whiteaways Arcade, George Town, Penang, May 16-June 21, 2015'--Copyright page ; Title from cover","",""
"769.92","009479727","Monograph","Language material ; Text","Volume","GB9665487","","9780952373322","Tenniel, John","1820-1914","person","","Arman, Mark [person] ; Tenniel, John, 1820-1914 [person]","The story of the electrotypes used to illustrate Sir John Tenniel's drawings for Alice's adventures in Wonderland & Through the looking glass illustrated with twelve Tenniel drawings printed letterpress from electrotypes, created from the original wood engravings, cut by the Dalziel brothers c.1860-1870","Alice in Wonderland plates of the engraved blocks of Sir John Tenniel's drawings","","","England","Thaxted","Workshop Press","1996","","20 pages, illustrations, 27 cm","YK.1996.b.13133","Tenniel, John, 1820-1914 ; Great Britain ; Prints ; Carroll, Lewis, 1832-1898--Illustrations","","English","Limited edition of 50 numbered copies","",""
